lpp_1943.1	"s1p: 
s1c: 
s1o: 
s1t: 
"	"s1p: publication-91
s1c: chapter
s1o: ordinal-entity
s1t: thing
"
lpp_1943.23	"s23p: 
s23d: 
s23i: 
s23c: 
s23n: 
s23s: 
s23n2: 
s23g: 
"	"s23p: possible-01
s23d: distinguish-01
s23i: i
s23c: country
s23n: name
s23s: state
s23n2: name
s23g: glance-01
"
lpp_1943.24	"s24v: 
s24k: 
s24s: 
s24g: 
s24o: 
s24l: 
s24d: 
s24n: 
"	"s24v: value-02
s24k: knowledge
s24s: such
s24g: get-03
s24o: one
s24l: lost
s24d: date-entity
s24n: night
"
lpp_1943.24	"s24v: 
s24k: 
s24s: 
s24g: 
s24o: 
s24l: 
s24d: 
s24n: 
"	"s24v: value-02
s24k: knowledge
s24s: such
s24g: get-03
s24o: one
s24l: lost
s24d: date-entity
s24n: night
"
lpp_1943.25	"s25e: 
s25i: 
s25p: 
s25m2: 
s25g2: 
s25c: 
s25m3: 
s25c2: 
s25m: 
s25g: 
s25c3: 
s25l: 
s25t: 
"	"s25e: encounter-01
s25i: i
s25p: person
s25m2: many
s25g2: great
s25c: concern-01
s25m3: matter
s25c2: consequential-01
s25m: many
s25g: great
s25c3: course
s25l: life
s25t: this
"
lpp_1943.25	"s25e: 
s25i: 
s25p: 
s25m2: 
s25g2: 
s25c: 
s25m3: 
s25c2: 
s25m: 
s25g: 
s25c3: 
s25l: 
s25t: 
"	"s25e: encounter-01
s25i: i
s25p: person
s25m2: many
s25g2: great
s25c: concern-01
s25m3: matter
s25c2: consequential-01
s25m: many
s25g: great
s25c3: course
s25l: life
s25t: this
"
lpp_1943.25	"s25e: 
s25i: 
s25p: 
s25m2: 
s25g2: 
s25c: 
s25m3: 
s25c2: 
s25m: 
s25g: 
s25c3: 
s25l: 
s25t: 
"	"s25e: encounter-01
s25i: i
s25p: person
s25m2: many
s25g2: great
s25c: concern-01
s25m3: matter
s25c2: consequential-01
s25m: many
s25g: great
s25c3: course
s25l: life
s25t: this
"
lpp_1943.26	"s26l: 
s26i: 
s26d: 
s26g2: 
s26a: 
s26g: 
"	"s26l: live-01
s26i: i
s26d: deal
s26g2: great
s26a: among
s26g: grown-up
"
lpp_1943.27	"s27s: 
s27i: 
s27t: 
s27c: 
s27a: 
s27i2: 
"	"s27s: see-01
s27i: i
s27t: they
s27c: close-10
s27a: at-hand-14
s27i2: intimate-02
"
lpp_1943.27	"s27s: 
s27i: 
s27t: 
s27c: 
s27a: 
s27i2: 
"	"s27s: see-01
s27i: i
s27t: they
s27c: close-10
s27a: at-hand-14
s27i2: intimate-02
"
lpp_1943.27	"s27s: 
s27i: 
s27t: 
s27c: 
s27a: 
s27i2: 
"	"s27s: see-01
s27i: i
s27t: they
s27c: close-10
s27a: at-hand-14
s27i2: intimate-02
"
lpp_1943.27	"s27s: 
s27i: 
s27t: 
s27c: 
s27a: 
s27i2: 
"	"s27s: see-01
s27i: i
s27t: they
s27c: close-10
s27a: at-hand-14
s27i2: intimate-02
"
lpp_1943.28	"s28a: 
s28i: 
s28t: 
s28t3: 
s28o2: 
s28i2: 
s28t2: 
"	"s28a: and
s28i: improve-01
s28t: that
s28t3: thing
s28o2: opine-01
s28i2: i
s28t2: they
"
lpp_1943.28	"s28a: 
s28i: 
s28t: 
s28t3: 
s28o2: 
s28i2: 
s28t2: 
"	"s28a: and
s28i: improve-01
s28t: that
s28t3: thing
s28o2: opine-01
s28i2: i
s28t2: they
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.29	"s29t: 
s29i: 
s29e: 
s29s: 
s29w: 
s29n: 
s29p: 
s29i2: 
s29t3: 
s29s3: 
s29c: 
s29s4: 
s29a3: 
s29k: 
s29a: 
s29m: 
s29a2: 
"	"s29t: try-01
s29i: i
s29e: experiment-01
s29s: show-01
s29w: work-of-art
s29n: name
s29p: person
s29i2: include-91
s29t3: they
s29s3: see-01
s29c: clear-08
s29s4: seem-01
s29a3: at-all
s29k: keep-01
s29a: always
s29m: meet-02
s29a2: any
"
lpp_1943.30	"s30t: 
s30i: 
s30f: 
s30t4: 
s30u2: 
s30p: 
s30t2: 
s30t3: 
"	"s30t: try-01
s30i: i
s30f: find-out-03
s30t4: truth-value
s30u2: understand-01
s30p: person
s30t2: this
s30t3: true-01
"
lpp_1943.30	"s30t: 
s30i: 
s30f: 
s30t4: 
s30u2: 
s30p: 
s30t2: 
s30t3: 
"	"s30t: try-01
s30i: i
s30f: find-out-03
s30t4: truth-value
s30u2: understand-01
s30p: person
s30t2: this
s30t3: true-01
"
lpp_1943.30	"s30t: 
s30i: 
s30f: 
s30t4: 
s30u2: 
s30p: 
s30t2: 
s30t3: 
"	"s30t: try-01
s30i: i
s30f: find-out-03
s30t4: truth-value
s30u2: understand-01
s30p: person
s30t2: this
s30t3: true-01
"
lpp_1943.30	"s30t: 
s30i: 
s30f: 
s30t4: 
s30u2: 
s30p: 
s30t2: 
s30t3: 
"	"s30t: try-01
s30i: i
s30f: find-out-03
s30t4: truth-value
s30u2: understand-01
s30p: person
s30t2: this
s30t3: true-01
"
lpp_1943.31	"s31c: 
s31s: 
s31o: 
s31h: 
s31s2: 
s31h2: 
s31t: 
s31a: 
"	"s31c: contrast-91
s31s: say-01
s31o: or
s31h: he
s31s2: she
s31h2: hat
s31t: that
s31a: always
"
lpp_1943.31	"s31c: 
s31s: 
s31o: 
s31h: 
s31s2: 
s31h2: 
s31t: 
s31a: 
"	"s31c: contrast-91
s31s: say-01
s31o: or
s31h: he
s31s2: she
s31h2: hat
s31t: that
s31a: always
"
lpp_1943.32	"s32t: 
s32i: 
s32o: 
s32b: 
s32c2: 
s32f: 
s32p2: 
s32s: 
s32p: 
s32t2: 
s32e: 
"	"s32t: talk-01
s32i: i
s32o: or
s32b: boa
s32c2: constrictor
s32f: forest
s32p2: primeval
s32s: star
s32p: person
s32t2: that
s32e: ever
"
lpp_1943.33	"s33b: 
s33i: 
s33l: 
s33h: 
s33d: 
"	"s33b: bring-01
s33i: i
s33l: level
s33h: he
s33d: down
"
lpp_1943.34	"s34t: 
s34i: 
s34a: 
s34b: 
s34g: 
s34p: 
s34n2: 
s34h: 
"	"s34t: talk-01
s34i: i
s34a: and
s34b: bridge
s34g: golf
s34p: politics
s34n2: necktie
s34h: he
"
lpp_1943.35	"s35a: 
s35p: 
s35m: 
s35g: 
s35m2: 
s35s: 
"	"s35a: and
s35p: please-01
s35m: meet-02
s35g: grown-up
s35m2: man
s35s: sense-02
"
lpp_1943.35	"s35a: 
s35p: 
s35m: 
s35g: 
s35m2: 
s35s: 
"	"s35a: and
s35p: please-01
s35m: meet-02
s35g: grown-up
s35m2: man
s35s: sense-02
"
lpp_1943.35	"s35a: 
s35p: 
s35m: 
s35g: 
s35m2: 
s35s: 
"	"s35a: and
s35p: please-01
s35m: meet-02
s35g: grown-up
s35m2: man
s35s: sense-02
"
lpp_1943.604	"s604i: 
s604m: 
s604c: 
s604p: 
s604o: 
"	"s604i: inhabit-01
s604m: man
s604c: conceit
s604p: planet
s604o: ordinal-entity
"
lpp_1943.607	"s607e: 
s607h: 
s607v: 
s607p: 
s607a: 
s607a3: 
s607s: 
s607c: 
s607p2: 
s607l: 
s607o: 
s607f2: 
s607a2: 
"	"s607e: exclaim-01
s607h: he
s607v: visit-01
s607p: person
s607a: admire-01
s607a3: about-to
s607s: see-01
s607c: come-01
s607p2: prince
s607l: little
s607o: ordinal-entity
s607f2: from
s607a2: afar
"
lpp_1943.607	"s607e: 
s607h: 
s607v: 
s607p: 
s607a: 
s607a3: 
s607s: 
s607c: 
s607p2: 
s607l: 
s607o: 
s607f2: 
s607a2: 
"	"s607e: exclaim-01
s607h: he
s607v: visit-01
s607p: person
s607a: admire-01
s607a3: about-to
s607s: see-01
s607c: come-01
s607p2: prince
s607l: little
s607o: ordinal-entity
s607f2: from
s607a2: afar
"
lpp_1943.607	"s607e: 
s607h: 
s607v: 
s607p: 
s607a: 
s607a3: 
s607s: 
s607c: 
s607p2: 
s607l: 
s607o: 
s607f2: 
s607a2: 
"	"s607e: exclaim-01
s607h: he
s607v: visit-01
s607p: person
s607a: admire-01
s607a3: about-to
s607s: see-01
s607c: come-01
s607p2: prince
s607l: little
s607o: ordinal-entity
s607f2: from
s607a2: afar
"
lpp_1943.607	"s607e: 
s607h: 
s607v: 
s607p: 
s607a: 
s607a3: 
s607s: 
s607c: 
s607p2: 
s607l: 
s607o: 
s607f2: 
s607a2: 
"	"s607e: exclaim-01
s607h: he
s607v: visit-01
s607p: person
s607a: admire-01
s607a3: about-to
s607s: see-01
s607c: come-01
s607p2: prince
s607l: little
s607o: ordinal-entity
s607f2: from
s607a2: afar
"
lpp_1943.607	"s607e: 
s607h: 
s607v: 
s607p: 
s607a: 
s607a3: 
s607s: 
s607c: 
s607p2: 
s607l: 
s607o: 
s607f2: 
s607a2: 
"	"s607e: exclaim-01
s607h: he
s607v: visit-01
s607p: person
s607a: admire-01
s607a3: about-to
s607s: see-01
s607c: come-01
s607p2: prince
s607l: little
s607o: ordinal-entity
s607f2: from
s607a2: afar
"
lpp_1943.609	"s609s: 
s609p: 
s609l: 
s609m: 
s609g: 
"	"s609s: say-01
s609p: prince
s609l: little
s609m: morning
s609g: good-02
"
lpp_1943.609	"s609s: 
s609p: 
s609l: 
s609m: 
s609g: 
"	"s609s: say-01
s609p: prince
s609l: little
s609m: morning
s609g: good-02
"
lpp_1943.610	"s610h2: 
s610q2: 
s610t2: 
s610w2: 
"	"s610h2: hat
s610q2: queer
s610t2: that
s610w2: wear-01
"
lpp_1943.611	"s611r: 
s611m: 
s611c: 
s611h2: 
s611s: 
s611i: 
"	"s611r: reply-01
s611m: man
s611c: conceit
s611h2: hat
s611s: salute-01
s611i: it
"
lpp_1943.611	"s611r: 
s611m: 
s611c: 
s611h2: 
s611s: 
s611i: 
"	"s611r: reply-01
s611m: man
s611c: conceit
s611h2: hat
s611s: salute-01
s611i: it
"
lpp_1943.612	"s612h: 
s612i: 
s612r: 
s612s: 
s612a: 
s612p: 
s612i2: 
"	"s612h: have-purpose-91
s612i: it
s612r: raise-01
s612s: salute-01
s612a: acclaim-01
s612p: person
s612i2: i
"
lpp_1943.612	"s612h: 
s612i: 
s612r: 
s612s: 
s612a: 
s612p: 
s612i2: 
"	"s612h: have-purpose-91
s612i: it
s612r: raise-01
s612s: salute-01
s612a: acclaim-01
s612p: person
s612i2: i
"
lpp_1943.612	"s612h: 
s612i: 
s612r: 
s612s: 
s612a: 
s612p: 
s612i2: 
"	"s612h: have-purpose-91
s612i: it
s612r: raise-01
s612s: salute-01
s612a: acclaim-01
s612p: person
s612i2: i
"
lpp_1943.612	"s612h: 
s612i: 
s612r: 
s612s: 
s612a: 
s612p: 
s612i2: 
"	"s612h: have-purpose-91
s612i: it
s612r: raise-01
s612s: salute-01
s612a: acclaim-01
s612p: person
s612i2: i
"
lpp_1943.613	"s613p: 
s613n: 
s613a: 
s613w: 
s613t: 
s613f: 
s613e: 
"	"s613p: pass-03
s613n: nobody
s613a: at-all
s613w: way
s613t: this
s613f: fortunate-01
s613e: ever
"
lpp_1943.613	"s613p: 
s613n: 
s613a: 
s613w: 
s613t: 
s613f: 
s613e: 
"	"s613p: pass-03
s613n: nobody
s613a: at-all
s613w: way
s613t: this
s613f: fortunate-01
s613e: ever
"
lpp_1943.614	"s614r: 
s614p: 
s614l: 
s614u: 
s614t2: 
s614t: 
s614m: 
s614c: 
s614y: 
"	"s614r: request-response-91
s614p: prince
s614l: little
s614u: understand-01
s614t2: thing
s614t: talk-01
s614m: man
s614c: conceit
s614y: yes
"
lpp_1943.614	"s614r: 
s614p: 
s614l: 
s614u: 
s614t2: 
s614t: 
s614m: 
s614c: 
s614y: 
"	"s614r: request-response-91
s614p: prince
s614l: little
s614u: understand-01
s614t2: thing
s614t: talk-01
s614m: man
s614c: conceit
s614y: yes
"
lpp_1943.614	"s614r: 
s614p: 
s614l: 
s614u: 
s614t2: 
s614t: 
s614m: 
s614c: 
s614y: 
"	"s614r: request-response-91
s614p: prince
s614l: little
s614u: understand-01
s614t2: thing
s614t: talk-01
s614m: man
s614c: conceit
s614y: yes
"
lpp_1943.615	"s615d: 
s615m: 
s615c: 
s615p: 
s615h2: 
s615c2: 
s615a: 
s615h3: 
s615i: 
s615h4: 
s615o: 
s615i2: 
s615n: 
"	"s615d: direct-01
s615m: man
s615c: conceit
s615p: person
s615h2: hand
s615c2: clap-01
s615a: against-01
s615h3: hand
s615i: include-91
s615h4: hand
s615o: other-01
s615i2: include-91
s615n: now
"
lpp_1943.615	"s615d: 
s615m: 
s615c: 
s615p: 
s615h2: 
s615c2: 
s615a: 
s615h3: 
s615i: 
s615h4: 
s615o: 
s615i2: 
s615n: 
"	"s615d: direct-01
s615m: man
s615c: conceit
s615p: person
s615h2: hand
s615c2: clap-01
s615a: against-01
s615h3: hand
s615i: include-91
s615h4: hand
s615o: other-01
s615i2: include-91
s615n: now
"
lpp_1943.615	"s615d: 
s615m: 
s615c: 
s615p: 
s615h2: 
s615c2: 
s615a: 
s615h3: 
s615i: 
s615h4: 
s615o: 
s615i2: 
s615n: 
"	"s615d: direct-01
s615m: man
s615c: conceit
s615p: person
s615h2: hand
s615c2: clap-01
s615a: against-01
s615h3: hand
s615i: include-91
s615h4: hand
s615o: other-01
s615i2: include-91
s615n: now
"
lpp_1943.615	"s615d: 
s615m: 
s615c: 
s615p: 
s615h2: 
s615c2: 
s615a: 
s615h3: 
s615i: 
s615h4: 
s615o: 
s615i2: 
s615n: 
"	"s615d: direct-01
s615m: man
s615c: conceit
s615p: person
s615h2: hand
s615c2: clap-01
s615a: against-01
s615h3: hand
s615i: include-91
s615h4: hand
s615o: other-01
s615i2: include-91
s615n: now
"
lpp_1943.615	"s615d: 
s615m: 
s615c: 
s615p: 
s615h2: 
s615c2: 
s615a: 
s615h3: 
s615i: 
s615h4: 
s615o: 
s615i2: 
s615n: 
"	"s615d: direct-01
s615m: man
s615c: conceit
s615p: person
s615h2: hand
s615c2: clap-01
s615a: against-01
s615h3: hand
s615i: include-91
s615h4: hand
s615o: other-01
s615i2: include-91
s615n: now
"
lpp_1943.615	"s615d: 
s615m: 
s615c: 
s615p: 
s615h2: 
s615c2: 
s615a: 
s615h3: 
s615i: 
s615h4: 
s615o: 
s615i2: 
s615n: 
"	"s615d: direct-01
s615m: man
s615c: conceit
s615p: person
s615h2: hand
s615c2: clap-01
s615a: against-01
s615h3: hand
s615i: include-91
s615h4: hand
s615o: other-01
s615i2: include-91
s615n: now
"
lpp_1943.616	"s616c: 
s616p: 
s616l: 
s616h: 
"	"s616c: clap-01
s616p: prince
s616l: little
s616h: hand
"
lpp_1943.617	"s617r: 
s617m: 
s617c: 
s617h: 
s617s: 
s617m2: 
"	"s617r: raise-01
s617m: man
s617c: conceit
s617h: hat
s617s: salute-01
s617m2: modest
"
lpp_1943.617	"s617r: 
s617m: 
s617c: 
s617h: 
s617s: 
s617m2: 
"	"s617r: raise-01
s617m: man
s617c: conceit
s617h: hat
s617s: salute-01
s617m2: modest
"
lpp_1943.618	"s618s: 
s618p: 
s618l: 
s618h: 
s618t: 
s618e: 
s618m: 
s618v: 
s618k: 
"	"s618s: say-01
s618p: prince
s618l: little
s618h: have-degree-91
s618t: this
s618e: entertain-01
s618m: more
s618v: visit-01
s618k: king
"
lpp_1943.618	"s618s: 
s618p: 
s618l: 
s618h: 
s618t: 
s618e: 
s618m: 
s618v: 
s618k: 
"	"s618s: say-01
s618p: prince
s618l: little
s618h: have-degree-91
s618t: this
s618e: entertain-01
s618m: more
s618v: visit-01
s618k: king
"
lpp_1943.618	"s618s: 
s618p: 
s618l: 
s618h: 
s618t: 
s618e: 
s618m: 
s618v: 
s618k: 
"	"s618s: say-01
s618p: prince
s618l: little
s618h: have-degree-91
s618t: this
s618e: entertain-01
s618m: more
s618v: visit-01
s618k: king
"
lpp_1943.618	"s618s: 
s618p: 
s618l: 
s618h: 
s618t: 
s618e: 
s618m: 
s618v: 
s618k: 
"	"s618s: say-01
s618p: prince
s618l: little
s618h: have-degree-91
s618t: this
s618e: entertain-01
s618m: more
s618v: visit-01
s618k: king
"
lpp_1943.619	"s619b: 
s619h: 
s619h2: 
s619h3: 
s619h4: 
s619d: 
s619c: 
s619c2: 
s619a: 
"	"s619b: begin-01
s619h: he
s619h2: hand
s619h3: hand
s619h4: hand
s619d: differ-02
s619c: clap-01
s619c2: clap-01
s619a: again
"
lpp_1943.619	"s619b: 
s619h: 
s619h2: 
s619h3: 
s619h4: 
s619d: 
s619c: 
s619c2: 
s619a: 
"	"s619b: begin-01
s619h: he
s619h2: hand
s619h3: hand
s619h4: hand
s619d: differ-02
s619c: clap-01
s619c2: clap-01
s619a: again
"
lpp_1943.619	"s619b: 
s619h: 
s619h2: 
s619h3: 
s619h4: 
s619d: 
s619c: 
s619c2: 
s619a: 
"	"s619b: begin-01
s619h: he
s619h2: hand
s619h3: hand
s619h4: hand
s619d: differ-02
s619c: clap-01
s619c2: clap-01
s619a: again
"
lpp_1943.619	"s619b: 
s619h: 
s619h2: 
s619h3: 
s619h4: 
s619d: 
s619c: 
s619c2: 
s619a: 
"	"s619b: begin-01
s619h: he
s619h2: hand
s619h3: hand
s619h4: hand
s619d: differ-02
s619c: clap-01
s619c2: clap-01
s619a: again
"
lpp_1943.620	"s620r: 
s620m: 
s620c: 
s620h2: 
s620a: 
s620s: 
"	"s620r: raise-01
s620m: man
s620c: conceit
s620h2: hat
s620a: again
s620s: salute-01
"
lpp_1943.620	"s620r: 
s620m: 
s620c: 
s620h2: 
s620a: 
s620s: 
"	"s620r: raise-01
s620m: man
s620c: conceit
s620h2: hat
s620a: again
s620s: salute-01
"
lpp_1943.621	"s621t: 
s621p: 
s621l: 
s621m: 
s621g2: 
s621a: 
s621e: 
s621t2: 
s621m2: 
"	"s621t: tire-01
s621p: prince
s621l: little
s621m: monotony
s621g2: game
s621a: after
s621e: exercise
s621t2: temporal-quantity
s621m2: minute
"
lpp_1943.622	"s622a: 
s622h: 
s622d: 
s622o: 
s622a2: 
s622m: 
s622c: 
s622h3: 
s622d3: 
"	"s622a: ask-01
s622h: he
s622d: do-02
s622o: one
s622a2: umr-unknown
s622m: make-02
s622c: come-01
s622h3: hat
s622d3: down
"
lpp_1943.622	"s622a: 
s622h: 
s622d: 
s622o: 
s622a2: 
s622m: 
s622c: 
s622h3: 
s622d3: 
"	"s622a: ask-01
s622h: he
s622d: do-02
s622o: one
s622a2: umr-unknown
s622m: make-02
s622c: come-01
s622h3: hat
s622d3: down
"
lpp_1943.622	"s622a: 
s622h: 
s622d: 
s622o: 
s622a2: 
s622m: 
s622c: 
s622h3: 
s622d3: 
"	"s622a: ask-01
s622h: he
s622d: do-02
s622o: one
s622a2: umr-unknown
s622m: make-02
s622c: come-01
s622h3: hat
s622d3: down
"
lpp_1943.622	"s622a: 
s622h: 
s622d: 
s622o: 
s622a2: 
s622m: 
s622c: 
s622h3: 
s622d3: 
"	"s622a: ask-01
s622h: he
s622d: do-02
s622o: one
s622a2: umr-unknown
s622m: make-02
s622c: come-01
s622h3: hat
s622d3: down
"
lpp_1943.623	"s623h: 
s623m: 
s623c: 
s623h2: 
"	"s623h: hear-01
s623m: man
s623c: conceit
s623h2: he
"
lpp_1943.624	"s624h: 
s624p: 
s624c: 
s624a: 
s624p2: 
s624e: 
"	"s624h: hear-01
s624p: person
s624c: conceit
s624a: anything
s624p2: praise-01
s624e: ever
"
lpp_1943.624	"s624h: 
s624p: 
s624c: 
s624a: 
s624p2: 
s624e: 
"	"s624h: hear-01
s624p: person
s624c: conceit
s624a: anything
s624p2: praise-01
s624e: ever
"
lpp_1943.625	"s625d: 
s625h: 
s625a: 
s625u: 
s625p: 
s625l: 
s625r: 
"	"s625d: demand-01
s625h: he
s625a: admire-01
s625u: umr-unknown
s625p: prince
s625l: little
s625r: real-04
"
lpp_1943.625	"s625d: 
s625h: 
s625a: 
s625u: 
s625p: 
s625l: 
s625r: 
"	"s625d: demand-01
s625h: he
s625a: admire-01
s625u: umr-unknown
s625p: prince
s625l: little
s625r: real-04
"
lpp_1943.625	"s625d: 
s625h: 
s625a: 
s625u: 
s625p: 
s625l: 
s625r: 
"	"s625d: demand-01
s625h: he
s625a: admire-01
s625u: umr-unknown
s625p: prince
s625l: little
s625r: real-04
"
lpp_1943.626	"s626m: 
s626a: 
s626a2: 
"	"s626m: mean-01
s626a: admire-01
s626a2: umr-unknown
"
lpp_1943.626	"s626m: 
s626a: 
s626a2: 
"	"s626m: mean-01
s626a: admire-01
s626a2: umr-unknown
"
