Abstract Roleset Grouping,Abstract Roleset,Roleset description,numbered args,role descriptions,,Notes to appear in editor,Notes for this sheet
,have-other-role-91,reification of :other-role,ARG1,event/entity,,,
,,,ARG2,other role,,,
,have-ord-91,reification of :ord,ARG1,event/entity,,,
,,,ARG2,ordinal (numeral),,,
,have-range-91,reification of :range,ARG1,ordinal-entity,,,"**just deleted, subsumed under have-ord-91"
,,,ARG2,overall description of the range,,,
,,,ARG3,range start,,,
,have-name-91,reification of :name,ARG1,entity,,,
,,,ARG2,"name (e.g., (n / name))",,,
,have-value-91,reification of :value,ARG1,entity,,,
,,,ARG2,value (string or numeral),,,
,have-unit-91,reification of :unit,ARG1,entity,,,**just added
,,,ARG2,unit of measurement,,,
,have-polarity-91,reification of :polarity,ARG1,event,,,
,,,ARG2, '+' or '-',,,
,have-modal-strength-91,reification of :modal-strength,ARG1,event,,,**just added
,,,ARG2,modal-strength value,,,
,,,ARG3,cognizer,,,
,have-list-item-91,reification of :list-item,ARG1,proposition,,,
,,,ARG2,"number in list (e.g., 1, IV, a), etc.)",,,
,have-mode-91,reification of :mode,ARG1,proposition,,,
,,,ARG2,"Imperative, Interrogative, or Expressive",,,
,be-polite-91,reification of :polite,ARG1,proposition,,,
,,,ARG2, '+'  ,,,
,have-91?,"reification of :poss, non-verbal clause predicate for thetic possession",ARG1,possessor,,,"this to be listed both in reifications list and non-verbal predicates list? (If there are not 2 separate lists, then only list once, with non-verbal preds.)"
,,,ARG2,possessum,,,
,have-experience-91,,:ARG1,experiencer,,,"this to be listed both in reifications list and implicit roelsets list? (If there are not 2 separate lists, then only list once, with reification.)"
,,,:ARG2,experience ,,,
,,,:ARG3,stimulus,,,
,have-result-91,reification of :result,:ARG1,event,,,**just added
,,,:ARG2 ,result,,,
,have-configuration-91,"from spatial AMR, can be used as a more specific version of have-mod-91 if the property being expressed is a configuration (as in ""it exploded into pieces"" or ""this structure is a tower"")",ARG1,"pieces, material, thing arranged into a configuration",,,**just added
,,,ARG2,the configuration,,,
,have-orientation-91,"from spatial AMR, can be used for ",,,,,**just added
,,,,,,,
,,,,,,,
-91: spatial rolesets/reifications,have-size-91,reification of :size,ARG1,spatial entity,,,
,,,ARG2,size indicator,,,
,have-color-91,reification of :color,ARG1,spatial entity,,,
,,,ARG2,color,,,
,have-configuration-91,a group of entities are combined into a single composite entity; this describes the spatial arrangement of that composite entity,ARG1,spatial entity,,,
,,,ARG2,configuration,,,
,have-orientation-91,describes the way that a spatial entity's intrinsic axes correspond to another entity's or the environment's axis system,ARG1,spatial entity,,,
,,,ARG2,oriented towards,,,
,,,ARG3,specific part of ARG1 facing ARG2,,,
,,,ARG4,orientation,,,
,cartesian-framework-91,defines a cartesian framework used in spatial frame of reference,ARG1,"spatial entity, whose centerpoint defines the origin",,,
,,,ARG2,x-axis,,,
,,,ARG3,y-axis,,,
,,,ARG4,z-axis,,,
,,,ARG5,origin coordinates or marker,,,
,,,ARG6,anchoring entity,,,
,,,ARG7,"Armiture: defines the layout of the framework's axes relative to one another and relative to an anchor.
Takes as its value (a / armiture), which is an abstract concept with numerous subroles. See Abstract Concepts entry for more info.",,,
,spatial-sequence-91,the temporal order of a list of entities describes their spatial sequence,ARG0,relations defining the trajectory of the sequence,,,
,,,ARG1,1stentity,,,
,,,ARG2,2ndentity,,,
,,,ARG3,third entity,,,
,,,ARG4,4th entity,,,
,,,ARG5,5th entity,,,
,,,ARG6,6th entity,,,
,,,etc.,and so on,,,
,have-anchor-91,reification of :anchor,ARG1,spatial relation,,,
,,,ARG2,anchoring entity,,,
,have-axis-91,reification of :axis,ARG1,spatial relation,,,
,,,ARG2,axis,,,
,,,,,,,
-91: discourse relation rolesets/reifications,but-91,reification of parent concept in discourse relation lattice (generic for unexpected-co-occurrence-91 and contrast-91),ARG1,main clause,,,"I wonder if discourse relations should be grouped together, roles and concepts."
,,,ARG2,contrastive clause,,,
,unexpected-co-occurrence-91,"reification of parent concept in discourse relation lattice (generic for :concession, :concessive-condition)",ARG1,main clause,,,
,,,ARG2,conditional,,,
-,contrast-91,for pure contrast,ARG1,main clause,,,
,,,ARG2,concessive condition,,,
,have-apprehensive-91,reification of :apprehensive,ARG1,main clause,,,
,,,ARG2,apprehensive,,,
-,have-condition-91,reification of :condition,ARG1,main clause,,,
,,,ARG2,condition,,,
,have-pure-addition-91,reification of :pure-addition,ARG1,main clause,,,
,,,ARG2,additive,,,
-,have-substitute-91,reification of :substitute,ARG1,this,,,renames instead-of-91
,,,ARG2,instead of that,,,streamlined name to 'substitute' (rather than 'substitution') to match the role it reifies
-,have-concession-91,reification of :concession,ARG1,main clause,,,
,,,ARG2,condition,,,
,have-concessive-condition-91,reification of :concessive-condition,ARG1,main clause,,,
,,,ARG2,concessive condition,,,
,have-subtraction-91,reification of :subtraction,ARG1,main clause,,,
,,,ARG2,exception,,,
,,,,,,,
non-prototypical pred rolesets:,have-91,"reification of :poss, non-verbal clause predicate for thetic possession",ARG1,possessor,,,in both lists
,,,ARG2,possessum,,,
,belong-91,non-verbal clause predicate for predicative possession,:ARG1 ,possessum,,,
,,,:ARG2 ,possessor,,,
,exist-91,non-verbal clause predicate for thetic location,:ARG1 ,location,,,
,,,:ARG2 ,theme,,,
,have-place-91,non-verbal clause predicate for predicative location,:ARG1 ,entity,,,figure out if should merge with have-place-91
,,,:ARG2 ,location,,,
,have-mod-91,"reification of :mod, non-verbal clause predicate for property predication",ARG1,event/entity,,,in both lists
,,,ARG2,modifier,,,
,have-role-91,non-verbal clause predicate for object predication,:ARG1 ,first entity,,,
,,,:ARG2 ,optional second entity,,,
,,,:ARG3 ,object category for ARG1,,,
,,,:ARG4,optional object category for ARG2,,,
,have-rel-role-92,for interpersonal relationships,:ARG1 ,entity A,,,
,,,:ARG2 ,entity B,,,
,,,:ARG3 ,role of entity A,,,
,,,:ARG4 ,role of entity B,,,
,,,:ARG5 ,case or contract,,,
,have-org-role-92,for person/organization relationships,:ARG1,office holder,,,
,,,:ARG2,organization,,,
,,,:ARG3,role or title of office held,,,
,,,:ARG4,description of responsibility,,,
,identity-91,non-verbal clause predicate for,:ARG1 ,theme,,,
,,,:ARG2 ,equated referent,,,
,,,,,,,
-91: implicit rolesets,byline-91,,:ARG1 ,news organization,,,
,,,:ARG2 ,author,,,
,,,:ARG3,"photographer, illustrator",,,
,,,:ARG4,translator,,,
,,,:ARG5,means,,,
,cite-91,,:ARG1,text accompanied by a citation,,,**this is a new change from AMR-- I didn't realize how wonky the AMR strategy was until I got into retrofits. 
,,,:ARG2,source publication (probably use publication-91),,,
,correlate-91,"specific type of correlation expressed by 'the X-er, the Y-er' construction",:ARG1,X; first item changing in relation to another,,,
,,,:ARG2,Y; second item ARG1 is changing in relation to,,,
,course-91,,:ARG1,topic,,,
,,,:ARG2,number,,,
,,,:ARG3,section,,,
,,,:ARG4,institution,,,
,,,:ARG5,instructor,,,
,distribution-range-91,,:ARG1,"center, mean",,,
,,,:ARG2,lower bound,,,
,,,:ARG3 ,upper bound,,,
,,,:ARG4 ,"radius, distance from center to bounds",,,
,,,:ARG5 ,"confidence that value is in range, typically a percentage, e.g. 95%",,,
,,,:ARG6  ,"deviation covered by range, e.g. standard-deviation, standard-error-of-the-mean",,,
,,,:ARG7 ,"type of distribution, e.g. normal-distribution",,,
,have-degree-91,for comparative/superlative/sufficiency constructions,:ARG1,entity characterized,,,
,,,:ARG2,"attribute (e.g., tall)",,,
,,,:ARG3,"degree itself (e.g., more, most, less, least, times, equal, enough, too, so, at-least)",,,
,,,:ARG4,compared-to,,,
,,,:ARG5,"superlative, reference to superset",,,
,,,:ARG6,"reference, threshold of sufficiency",,,
,hyperlink-91,,:ARG1,text being hyperlinked,,,
,,,:ARG3,url-entity,,,
,include-91,,:ARG1,subset,,,
,,,:ARG2,superset,,,
,,,:ARG3,relative size of subset compared to superset,,,
,infer-91,,:ARG0,inference-maker,,,
,,,:ARG1,belief,,,
,,,:ARG2,source of belief,,,
,publication-91,,:ARG0,author(s),,,
,,,:ARG1,title,,,
,,,:ARG2,abstract,,,
,,,:ARG3,full text,,,
,,,:ARG4,"venue (journal, conference, etc.)",,,
,,,:ARG5,volume,,,
,,,:ARG6,issue,,,
,,,:ARG7,pages,,,
,,,:ARG8,"id (e.g., PubMed)",,,
,,,:ARG9,editor(s),,,
,reference-illustration-91,,:ARG1,"clause which points to an figure, table, or example",,,**this is a new change from AMR-- I didn't realize how wonky the AMR strategy was until I got into retrofits. 
,,,:ARG2,"the figure, table or example",,,
,resemble-91,,:ARG1,the copy,,,
,,,:ARG2,the original,,,
,rate-entity-91,,:ARG1,quantity (with an implied default of 1),,,
,,,:ARG2,per quantity,,,
,,,:ARG3,regular interval between events,,,
,,,:ARG4,entity on which recurring event happens,,,
,score-on-scale-91,,:ARG1,score,,,
,,,:ARG2,worst score on scale,,,
,,,:ARG3,best score on scale,,,
,statistical-test-91,,:ARG1,finding,,,
,,,:ARG2,p-value (probability of null-hypothesis),,,
,,,:ARG3,r-squared (coefficient of determination),,,
,,,:ARG4,"significance test (e.g., t-test, Chi-square test, Fisher's exact test)",,,
,,,:ARG5,alternative hypothesis (vs...),,,
,street-address-91,,:ARG1,street number,,,
,,,:ARG2,street,,,
,,,:ARG3,"unit (apartment, suite, etc.)",,,
,,,:ARG4,city,,,
,,,:ARG5,"state, province, district",,,
,,,:ARG6,zip code,,,
,,,:ARG7,country,,,
,mean-91,,:ARG0,agent,,,
,,,:ARG1,element containing meaning,,,
,,,:ARG2,meaning,,,
,,,:ARG3,"perceiver, beneficiary",,,
,have-experience-91,,:ARG1,experiencer,,,
,,,:ARG2,experience ,,,
,,,:ARG3,stimulus,,,
,weather-91,,:ARG1,location,,,
,,,:ARG2,environmental condition,,,
,range-91,,:ARG1,start of the range,,,"**this is not a reification for :range, which is a subrole of :ord and should be reified with have-ord-91. 

rather, this is for instances like: "" Ahasuerus ascended the throne in Shush and ruled over 127 provinces from India to Cush. """
,,,:ARG2,end of the range,,,
,gesture-91,,:ARG0,gesturer,,,
,,,:ARG1,the gesture,,,
,,,:ARG2,audience,,,
,emit-sound-91,,:ARG1,entity emitting sound,,,
,,,:ARG2,the sound (may use (s / string-entity)),,,
,proverb-91,,:ARG1,proverb,,,
,,,:ARG2,2nd part of a two-part allegorical expression. Gives a focused interpretation of ARG1,,,
,say-91,,:ARG0,"speaker, communication attributed to",,,"*added for UMR 2.0, to be used for unattributed speech in dialogues, etc-- anywhere there is not a predicate of speaking in the surface sentence. Also for 'according to X, Y', in English. "
,,,:ARG1,"quote, communicated thing (add :quote relation to this argument)",,,
,,,:ARG2 ,audience,,,
